NCIt Subset Code,CDRH Subset Name,NCIt Concept Code,NCIt Preferred Term,NCIt Definition,CDRH Preferred Term,CDRH Source Code,CDRH Definition,IMDRF Code
C54451,Medical Device Problem,C133496,Patient-Device Interaction Problem,Problem related to the interaction between the patient and a medical device.,Patient Device Interaction Problem,4001,Problem related to the interaction between the patient and the device.,IMDRF:A01
C54451,Medical Device Problem,C62919,Patient-Device Incompatibility,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.,Patient-Device Incompatibility,2682,Problem associated with the interaction between the patient's physiology or anatomy and the device that affects the patient and/or the device.,IMDRF:A0101
C54451,Medical Device Problem,C63294,Biocompatibility,Problem associated with undesirable local or systemic effects due to exposure to device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.,Biocompatibility,2886,Problem associated with undesirable local or systemic effects due to exposure to medical device materials or leachates from those materials by a patient who has an implant or is receiving treatment with a device made from them.,IMDRF:A010101
C54451,Medical Device Problem,C62853,Device Appears to Trigger Rejection,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device.",Device Appears to Trigger Rejection,1524,"The device appears to elicit undesired response in the patient to the presence of an implanted or invasive device, without inherent device failure, e.g. fibrous encapsulation, or inflammation of the tissue around the device, or extrusion of the device.",IMDRF:A010102
C54451,Medical Device Problem,C62947,Inadequacy of Device Shape and/or Size,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.,Inadequacy of Device Shape and/or Size,1583,The physical size and/or shape of the device was inadequate with regard to the patient's anatomy.,IMDRF:A010103
C54451,Medical Device Problem,C62886,Osseointegration Problem,Problem associated with interconnection between the bone tissue and the implanted device.,Osseointegration Problem,3003,Problem associated with interconnection between the bone tissue and the implanted device.,IMDRF:A0102
C54451,Medical Device Problem,C63171,Failure to Osseointegrate,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.,Failure to Osseointegrate,1863,Problem associated with the failure to see direct anchorage of an implant by the formation of bony tissue around the implant without the growth of fibrous tissue at the bone-implant interface.,IMDRF:A010201
C54451,Medical Device Problem,C63053,Loss of Osseointegration,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. 'Loosening/Lysis.',Loss of Osseointegration,2408,Problem associated with weakened integration of the device at the bone-implant interface due to loss of fibrous and/or bony tissue and leading to compromised anchorage of the device. i.e. Loosening/Lysis,IMDRF:A010202
C54451,Medical Device Problem,C133497,Loosening of Implant Not Related to Bone-Ingrowth,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.,Loosening of Implant Not Related to Bone-Ingrowth,4002,Problem associated with the loss of direct anchorage of an implanted device over time or due to an injury.,IMDRF:A0103
C54451,Medical Device Problem,C62917,Migration or Expulsion of Device,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body.",Migration or Expulsion of Device,1395,"Problem with an implanted or invasive device moving within the body, or being completely expelled from the body.",IMDRF:A0104
